datetime_beginning_utc,datetime_beginning_ept,interface_limit_name,flow_mw,limit_mw
1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,BCPEP,3784,6100
1/1/2016 6:00:00 AM,1/1/2016 1:00:00 AM,BCPEP,3464,6100
1/1/2016 7:00:00 AM,1/1/2016 2:00:00 AM,BCPEP,3494,6100
1/1/2016 8:00:00 AM,1/1/2016 3:00:00 AM,BCPEP,3554,6100
1/1/2016 9:00:00 AM,1/1/2016 4:00:00 AM,BCPEP,3583,6100
1/1/2016 10:00:00 AM,1/1/2016 5:00:00 AM,BCPEP,3728,6100
1/1/2016 11:00:00 AM,1/1/2016 6:00:00 AM,BCPEP,4755,6100
1/1/2016 12:00:00 PM,1/1/2016 7:00:00 AM,BCPEP,5071,5500
1/1/2016 1:00:00 PM,1/1/2016 8:00:00 AM,BCPEP,4971,5500
1/1/2016 2:00:00 PM,1/1/2016 9:00:00 AM,BCPEP,5126,5500
1/1/2016 3:00:00 PM,1/1/2016 10:00:00 AM,BCPEP,4922,5500
1/1/2016 4:00:00 PM,1/1/2016 11:00:00 AM,BCPEP,4719,5500
1/1/2016 5:00:00 PM,1/1/2016 12:00:00 PM,BCPEP,4697,5500
1/1/2016 6:00:00 PM,1/1/2016 1:00:00 PM,BCPEP,4524,5500
1/1/2016 7:00:00 PM,1/1/2016 2:00:00 PM,BCPEP,4237,5500
1/1/2016 8:00:00 PM,1/1/2016 3:00:00 PM,BCPEP,3723,5500
1/1/2016 9:00:00 PM,1/1/2016 4:00:00 PM,BCPEP,4193,5500
1/1/2016 10:00:00 PM,1/1/2016 5:00:00 PM,BCPEP,5228,5500
1/1/2016 11:00:00 PM,1/1/2016 6:00:00 PM,BCPEP,5151,5500
1/2/2016 12:00:00 AM,1/1/2016 7:00:00 PM,BCPEP,4767,5500
1/2/2016 1:00:00 AM,1/1/2016 8:00:00 PM,BCPEP,4641,5500
1/2/2016 2:00:00 AM,1/1/2016 9:00:00 PM,BCPEP,4322,5500
1/2/2016 3:00:00 AM,1/1/2016 10:00:00 PM,BCPEP,3851,5500
1/2/2016 4:00:00 AM,1/1/2016 11:00:00 PM,BCPEP,4310,6100
1/2/2016 5:00:00 AM,1/2/2016 12:00:00 AM,BCPEP,4580,5600
1/2/2016 6:00:00 AM,1/2/2016 1:00:00 AM,BCPEP,4112,5600
1/2/2016 7:00:00 AM,1/2/2016 2:00:00 AM,BCPEP,4092,5600
1/2/2016 8:00:00 AM,1/2/2016 3:00:00 AM,BCPEP,4286,5600
1/2/2016 9:00:00 AM,1/2/2016 4:00:00 AM,BCPEP,4232,5600
1/2/2016 10:00:00 AM,1/2/2016 5:00:00 AM,BCPEP,4579,5600
1/2/2016 11:00:00 AM,1/2/2016 6:00:00 AM,BCPEP,5091,5600
1/2/2016 12:00:00 PM,1/2/2016 7:00:00 AM,BCPEP,5300,5300
1/2/2016 1:00:00 PM,1/2/2016 8:00:00 AM,BCPEP,5300,5300
1/2/2016 2:00:00 PM,1/2/2016 9:00:00 AM,BCPEP,5042,5300
1/2/2016 3:00:00 PM,1/2/2016 10:00:00 AM,BCPEP,4577,5300
1/2/2016 4:00:00 PM,1/2/2016 11:00:00 AM,BCPEP,4347,5300
1/2/2016 5:00:00 PM,1/2/2016 12:00:00 PM,BCPEP,3977,5300
1/2/2016 6:00:00 PM,1/2/2016 1:00:00 PM,BCPEP,3889,5300
1/2/2016 7:00:00 PM,1/2/2016 2:00:00 PM,BCPEP,3400,5300
1/2/2016 8:00:00 PM,1/2/2016 3:00:00 PM,BCPEP,3037,5300
1/2/2016 9:00:00 PM,1/2/2016 4:00:00 PM,BCPEP,3362,5300
1/2/2016 10:00:00 PM,1/2/2016 5:00:00 PM,BCPEP,5247,5300
1/2/2016 11:00:00 PM,1/2/2016 6:00:00 PM,BCPEP,5255,5300
1/3/2016 12:00:00 AM,1/2/2016 7:00:00 PM,BCPEP,4665,5300
1/3/2016 1:00:00 AM,1/2/2016 8:00:00 PM,BCPEP,4635,5300
1/3/2016 2:00:00 AM,1/2/2016 9:00:00 PM,BCPEP,4267,5300
1/3/2016 3:00:00 AM,1/2/2016 10:00:00 PM,BCPEP,3588,5300
1/3/2016 4:00:00 AM,1/2/2016 11:00:00 PM,BCPEP,4210,5600
1/3/2016 5:00:00 AM,1/3/2016 12:00:00 AM,BCPEP,4344,5700
1/3/2016 6:00:00 AM,1/3/2016 1:00:00 AM,BCPEP,4178,5700
1/3/2016 7:00:00 AM,1/3/2016 2:00:00 AM,BCPEP,4071,5700
1/3/2016 8:00:00 AM,1/3/2016 3:00:00 AM,BCPEP,4184,5700
1/3/2016 9:00:00 AM,1/3/2016 4:00:00 AM,BCPEP,4239,5700
1/3/2016 10:00:00 AM,1/3/2016 5:00:00 AM,BCPEP,4676,5700
1/3/2016 11:00:00 AM,1/3/2016 6:00:00 AM,BCPEP,4794,5700
1/3/2016 12:00:00 PM,1/3/2016 7:00:00 AM,BCPEP,5226,5600
1/3/2016 1:00:00 PM,1/3/2016 8:00:00 AM,BCPEP,5324,5600
1/3/2016 2:00:00 PM,1/3/2016 9:00:00 AM,BCPEP,4655,5600
1/3/2016 3:00:00 PM,1/3/2016 10:00:00 AM,BCPEP,4172,5600
1/3/2016 4:00:00 PM,1/3/2016 11:00:00 AM,BCPEP,4142,5600
1/3/2016 5:00:00 PM,1/3/2016 12:00:00 PM,BCPEP,3996,5600
1/3/2016 6:00:00 PM,1/3/2016 1:00:00 PM,BCPEP,3892,5600
1/3/2016 7:00:00 PM,1/3/2016 2:00:00 PM,BCPEP,3573,5600
1/3/2016 8:00:00 PM,1/3/2016 3:00:00 PM,BCPEP,3040,5600
1/3/2016 9:00:00 PM,1/3/2016 4:00:00 PM,BCPEP,3949,5600
1/3/2016 10:00:00 PM,1/3/2016 5:00:00 PM,BCPEP,5600,5600
1/3/2016 11:00:00 PM,1/3/2016 6:00:00 PM,BCPEP,5600,5600
1/4/2016 12:00:00 AM,1/3/2016 7:00:00 PM,BCPEP,5270,5600
1/4/2016 1:00:00 AM,1/3/2016 8:00:00 PM,BCPEP,5197,5600
1/4/2016 2:00:00 AM,1/3/2016 9:00:00 PM,BCPEP,4066,5600
1/4/2016 3:00:00 AM,1/3/2016 10:00:00 PM,BCPEP,3695,5600
1/4/2016 4:00:00 AM,1/3/2016 11:00:00 PM,BCPEP,3978,5700
1/4/2016 5:00:00 AM,1/4/2016 12:00:00 AM,BCPEP,4520,5700
1/4/2016 6:00:00 AM,1/4/2016 1:00:00 AM,BCPEP,4235,5700
1/4/2016 7:00:00 AM,1/4/2016 2:00:00 AM,BCPEP,4438,5700
1/4/2016 8:00:00 AM,1/4/2016 3:00:00 AM,BCPEP,4412,5700
1/4/2016 9:00:00 AM,1/4/2016 4:00:00 AM,BCPEP,4635,5700
1/4/2016 10:00:00 AM,1/4/2016 5:00:00 AM,BCPEP,5068,5700
1/4/2016 11:00:00 AM,1/4/2016 6:00:00 AM,BCPEP,4968,5700
1/4/2016 12:00:00 PM,1/4/2016 7:00:00 AM,BCPEP,5166,6000
1/4/2016 1:00:00 PM,1/4/2016 8:00:00 AM,BCPEP,5451,6000
1/4/2016 2:00:00 PM,1/4/2016 9:00:00 AM,BCPEP,4764,6000
1/4/2016 3:00:00 PM,1/4/2016 10:00:00 AM,BCPEP,4151,6000
1/4/2016 4:00:00 PM,1/4/2016 11:00:00 AM,BCPEP,4301,6000
1/4/2016 5:00:00 PM,1/4/2016 12:00:00 PM,BCPEP,4388,6000
1/4/2016 6:00:00 PM,1/4/2016 1:00:00 PM,BCPEP,4653,6000
1/4/2016 7:00:00 PM,1/4/2016 2:00:00 PM,BCPEP,4452,6000
1/4/2016 8:00:00 PM,1/4/2016 3:00:00 PM,BCPEP,4486,6000
1/4/2016 9:00:00 PM,1/4/2016 4:00:00 PM,BCPEP,4792,6000
1/4/2016 10:00:00 PM,1/4/2016 5:00:00 PM,BCPEP,6000,6000
1/4/2016 11:00:00 PM,1/4/2016 6:00:00 PM,BCPEP,6000,6000
1/5/2016 12:00:00 AM,1/4/2016 7:00:00 PM,BCPEP,6000,6000
1/5/2016 1:00:00 AM,1/4/2016 8:00:00 PM,BCPEP,5843,6000
1/5/2016 2:00:00 AM,1/4/2016 9:00:00 PM,BCPEP,5064,6000
1/5/2016 3:00:00 AM,1/4/2016 10:00:00 PM,BCPEP,4458,6000
1/5/2016 4:00:00 AM,1/4/2016 11:00:00 PM,BCPEP,4235,5700
1/5/2016 5:00:00 AM,1/5/2016 12:00:00 AM,BCPEP,5042,5700
1/5/2016 6:00:00 AM,1/5/2016 1:00:00 AM,BCPEP,4760,5700
1/5/2016 7:00:00 AM,1/5/2016 2:00:00 AM,BCPEP,4762,5700
1/5/2016 8:00:00 AM,1/5/2016 3:00:00 AM,BCPEP,4923,5700
1/5/2016 9:00:00 AM,1/5/2016 4:00:00 AM,BCPEP,5238,5700
1/5/2016 10:00:00 AM,1/5/2016 5:00:00 AM,BCPEP,5528,5700
1/5/2016 11:00:00 AM,1/5/2016 6:00:00 AM,BCPEP,5700,5700
1/5/2016 12:00:00 PM,1/5/2016 7:00:00 AM,BCPEP,5800,5800
1/5/2016 1:00:00 PM,1/5/2016 8:00:00 AM,BCPEP,5800,5800
1/5/2016 2:00:00 PM,1/5/2016 9:00:00 AM,BCPEP,5720,5800
1/5/2016 3:00:00 PM,1/5/2016 10:00:00 AM,BCPEP,5111,5800
1/5/2016 4:00:00 PM,1/5/2016 11:00:00 AM,BCPEP,4874,5800
1/5/2016 5:00:00 PM,1/5/2016 12:00:00 PM,BCPEP,4856,5800
1/5/2016 6:00:00 PM,1/5/2016 1:00:00 PM,BCPEP,4715,5800
1/5/2016 7:00:00 PM,1/5/2016 2:00:00 PM,BCPEP,4774,5800
1/5/2016 8:00:00 PM,1/5/2016 3:00:00 PM,BCPEP,3893,5800
1/5/2016 9:00:00 PM,1/5/2016 4:00:00 PM,BCPEP,4574,5800
1/5/2016 10:00:00 PM,1/5/2016 5:00:00 PM,BCPEP,5800,5800
1/5/2016 11:00:00 PM,1/5/2016 6:00:00 PM,BCPEP,5349,5800
1/6/2016 12:00:00 AM,1/5/2016 7:00:00 PM,BCPEP,5424,5800
1/6/2016 1:00:00 AM,1/5/2016 8:00:00 PM,BCPEP,5252,5800
1/6/2016 2:00:00 AM,1/5/2016 9:00:00 PM,BCPEP,5207,5800
1/6/2016 3:00:00 AM,1/5/2016 10:00:00 PM,BCPEP,4704,5800
1/6/2016 4:00:00 AM,1/5/2016 11:00:00 PM,BCPEP,4946,5700
1/6/2016 5:00:00 AM,1/6/2016 12:00:00 AM,BCPEP,4164,5500
1/6/2016 6:00:00 AM,1/6/2016 1:00:00 AM,BCPEP,4076,5500
1/6/2016 7:00:00 AM,1/6/2016 2:00:00 AM,BCPEP,4169,5500
1/6/2016 8:00:00 AM,1/6/2016 3:00:00 AM,BCPEP,3938,5500
1/6/2016 9:00:00 AM,1/6/2016 4:00:00 AM,BCPEP,4556,5500
1/6/2016 10:00:00 AM,1/6/2016 5:00:00 AM,BCPEP,4999,5500
1/6/2016 11:00:00 AM,1/6/2016 6:00:00 AM,BCPEP,5500,5500
1/6/2016 12:00:00 PM,1/6/2016 7:00:00 AM,BCPEP,5517,6300
1/6/2016 1:00:00 PM,1/6/2016 8:00:00 AM,BCPEP,4891,6300
1/6/2016 2:00:00 PM,1/6/2016 9:00:00 AM,BCPEP,4926,6300
1/6/2016 3:00:00 PM,1/6/2016 10:00:00 AM,BCPEP,4246,6300
1/6/2016 4:00:00 PM,1/6/2016 11:00:00 AM,BCPEP,4131,6300
1/6/2016 5:00:00 PM,1/6/2016 12:00:00 PM,BCPEP,3927,6300
1/6/2016 6:00:00 PM,1/6/2016 1:00:00 PM,BCPEP,3931,6300
1/6/2016 7:00:00 PM,1/6/2016 2:00:00 PM,BCPEP,3824,6300
1/6/2016 8:00:00 PM,1/6/2016 3:00:00 PM,BCPEP,4041,6300
1/6/2016 9:00:00 PM,1/6/2016 4:00:00 PM,BCPEP,4337,6300
1/6/2016 10:00:00 PM,1/6/2016 5:00:00 PM,BCPEP,5764,6300
1/6/2016 11:00:00 PM,1/6/2016 6:00:00 PM,BCPEP,5559,6300
1/7/2016 12:00:00 AM,1/6/2016 7:00:00 PM,BCPEP,4890,6300
1/7/2016 1:00:00 AM,1/6/2016 8:00:00 PM,BCPEP,4983,6300
1/7/2016 2:00:00 AM,1/6/2016 9:00:00 PM,BCPEP,4449,6300
1/7/2016 3:00:00 AM,1/6/2016 10:00:00 PM,BCPEP,3960,6300
1/7/2016 4:00:00 AM,1/6/2016 11:00:00 PM,BCPEP,4099,5500
1/7/2016 5:00:00 AM,1/7/2016 12:00:00 AM,BCPEP,3708,5700
1/7/2016 6:00:00 AM,1/7/2016 1:00:00 AM,BCPEP,3873,5700
1/7/2016 7:00:00 AM,1/7/2016 2:00:00 AM,BCPEP,3901,5700
1/7/2016 8:00:00 AM,1/7/2016 3:00:00 AM,BCPEP,3930,5700
1/7/2016 9:00:00 AM,1/7/2016 4:00:00 AM,BCPEP,4087,5700
1/7/2016 10:00:00 AM,1/7/2016 5:00:00 AM,BCPEP,4434,5700
1/7/2016 11:00:00 AM,1/7/2016 6:00:00 AM,BCPEP,5523,5700
1/7/2016 12:00:00 PM,1/7/2016 7:00:00 AM,BCPEP,5370,5900
1/7/2016 1:00:00 PM,1/7/2016 8:00:00 AM,BCPEP,4954,5900
1/7/2016 2:00:00 PM,1/7/2016 9:00:00 AM,BCPEP,4328,5900
1/7/2016 3:00:00 PM,1/7/2016 10:00:00 AM,BCPEP,4075,5900
1/7/2016 4:00:00 PM,1/7/2016 11:00:00 AM,BCPEP,4034,5900
1/7/2016 5:00:00 PM,1/7/2016 12:00:00 PM,BCPEP,3935,5900
1/7/2016 6:00:00 PM,1/7/2016 1:00:00 PM,BCPEP,3977,5900
1/7/2016 7:00:00 PM,1/7/2016 2:00:00 PM,BCPEP,3667,5900
1/7/2016 8:00:00 PM,1/7/2016 3:00:00 PM,BCPEP,3774,5900
1/7/2016 9:00:00 PM,1/7/2016 4:00:00 PM,BCPEP,4266,5900
1/7/2016 10:00:00 PM,1/7/2016 5:00:00 PM,BCPEP,5551,5900
1/7/2016 11:00:00 PM,1/7/2016 6:00:00 PM,BCPEP,5203,5900
1/8/2016 12:00:00 AM,1/7/2016 7:00:00 PM,BCPEP,4577,5900
1/8/2016 1:00:00 AM,1/7/2016 8:00:00 PM,BCPEP,4637,5900
1/8/2016 2:00:00 AM,1/7/2016 9:00:00 PM,BCPEP,4125,5900
1/8/2016 3:00:00 AM,1/7/2016 10:00:00 PM,BCPEP,3717,5900
1/8/2016 4:00:00 AM,1/7/2016 11:00:00 PM,BCPEP,3490,5700
1/8/2016 5:00:00 AM,1/8/2016 12:00:00 AM,BCPEP,3228,5800
1/8/2016 6:00:00 AM,1/8/2016 1:00:00 AM,BCPEP,3272,5800
1/8/2016 7:00:00 AM,1/8/2016 2:00:00 AM,BCPEP,3334,5800
1/8/2016 8:00:00 AM,1/8/2016 3:00:00 AM,BCPEP,3563,5800
1/8/2016 9:00:00 AM,1/8/2016 4:00:00 AM,BCPEP,3807,5800
1/8/2016 10:00:00 AM,1/8/2016 5:00:00 AM,BCPEP,4102,5800
1/8/2016 11:00:00 AM,1/8/2016 6:00:00 AM,BCPEP,5222,5800
1/8/2016 12:00:00 PM,1/8/2016 7:00:00 AM,BCPEP,5481,6100
1/8/2016 1:00:00 PM,1/8/2016 8:00:00 AM,BCPEP,4531,6100
1/8/2016 2:00:00 PM,1/8/2016 9:00:00 AM,BCPEP,4146,6100
1/8/2016 3:00:00 PM,1/8/2016 10:00:00 AM,BCPEP,3968,6100
1/8/2016 4:00:00 PM,1/8/2016 11:00:00 AM,BCPEP,3976,6100
1/8/2016 5:00:00 PM,1/8/2016 12:00:00 PM,BCPEP,4002,6100
1/8/2016 6:00:00 PM,1/8/2016 1:00:00 PM,BCPEP,3749,6100
1/8/2016 7:00:00 PM,1/8/2016 2:00:00 PM,BCPEP,3681,6100
1/8/2016 8:00:00 PM,1/8/2016 3:00:00 PM,BCPEP,3940,6100
1/8/2016 9:00:00 PM,1/8/2016 4:00:00 PM,BCPEP,4124,6100
1/8/2016 10:00:00 PM,1/8/2016 5:00:00 PM,BCPEP,5135,6100
1/8/2016 11:00:00 PM,1/8/2016 6:00:00 PM,BCPEP,4684,6100
1/9/2016 12:00:00 AM,1/8/2016 7:00:00 PM,BCPEP,4408,6100
1/9/2016 1:00:00 AM,1/8/2016 8:00:00 PM,BCPEP,4658,6100
1/9/2016 2:00:00 AM,1/8/2016 9:00:00 PM,BCPEP,4035,6100
1/9/2016 3:00:00 AM,1/8/2016 10:00:00 PM,BCPEP,3439,6100
1/9/2016 4:00:00 AM,1/8/2016 11:00:00 PM,BCPEP,3099,5800
1/9/2016 5:00:00 AM,1/9/2016 12:00:00 AM,BCPEP,3373,6200
1/9/2016 6:00:00 AM,1/9/2016 1:00:00 AM,BCPEP,3160,6200
1/9/2016 7:00:00 AM,1/9/2016 2:00:00 AM,BCPEP,2911,6200
1/9/2016 8:00:00 AM,1/9/2016 3:00:00 AM,BCPEP,2862,6200
1/9/2016 9:00:00 AM,1/9/2016 4:00:00 AM,BCPEP,2822,6200
1/9/2016 10:00:00 AM,1/9/2016 5:00:00 AM,BCPEP,2768,6200
1/9/2016 11:00:00 AM,1/9/2016 6:00:00 AM,BCPEP,3297,6200
1/9/2016 12:00:00 PM,1/9/2016 7:00:00 AM,BCPEP,3962,6100
1/9/2016 1:00:00 PM,1/9/2016 8:00:00 AM,BCPEP,4137,6100
1/9/2016 2:00:00 PM,1/9/2016 9:00:00 AM,BCPEP,4367,6100
1/9/2016 3:00:00 PM,1/9/2016 10:00:00 AM,BCPEP,4247,6100
1/9/2016 4:00:00 PM,1/9/2016 11:00:00 AM,BCPEP,4132,6100
1/9/2016 5:00:00 PM,1/9/2016 12:00:00 PM,BCPEP,4011,6100
1/9/2016 6:00:00 PM,1/9/2016 1:00:00 PM,BCPEP,3822,6100
1/9/2016 7:00:00 PM,1/9/2016 2:00:00 PM,BCPEP,3442,6100
1/9/2016 8:00:00 PM,1/9/2016 3:00:00 PM,BCPEP,3768,6100
1/9/2016 9:00:00 PM,1/9/2016 4:00:00 PM,BCPEP,3825,6100
1/9/2016 10:00:00 PM,1/9/2016 5:00:00 PM,BCPEP,4644,6100
1/9/2016 11:00:00 PM,1/9/2016 6:00:00 PM,BCPEP,4636,6100
1/10/2016 12:00:00 AM,1/9/2016 7:00:00 PM,BCPEP,4201,6100
1/10/2016 1:00:00 AM,1/9/2016 8:00:00 PM,BCPEP,4171,6100
1/10/2016 2:00:00 AM,1/9/2016 9:00:00 PM,BCPEP,4210,6100
1/10/2016 3:00:00 AM,1/9/2016 10:00:00 PM,BCPEP,3706,6100
1/10/2016 4:00:00 AM,1/9/2016 11:00:00 PM,BCPEP,3326,6200
1/10/2016 5:00:00 AM,1/10/2016 12:00:00 AM,BCPEP,2436,6200
1/10/2016 6:00:00 AM,1/10/2016 1:00:00 AM,BCPEP,2318,6200
1/10/2016 7:00:00 AM,1/10/2016 2:00:00 AM,BCPEP,2089,6200
1/10/2016 8:00:00 AM,1/10/2016 3:00:00 AM,BCPEP,2045,6200
1/10/2016 9:00:00 AM,1/10/2016 4:00:00 AM,BCPEP,1950,6200
1/10/2016 10:00:00 AM,1/10/2016 5:00:00 AM,BCPEP,1641,6200
1/10/2016 11:00:00 AM,1/10/2016 6:00:00 AM,BCPEP,1974,6200
1/10/2016 12:00:00 PM,1/10/2016 7:00:00 AM,BCPEP,2416,6200
1/10/2016 1:00:00 PM,1/10/2016 8:00:00 AM,BCPEP,2817,6200
1/10/2016 2:00:00 PM,1/10/2016 9:00:00 AM,BCPEP,3390,6200
1/10/2016 3:00:00 PM,1/10/2016 10:00:00 AM,BCPEP,3424,6200
1/10/2016 4:00:00 PM,1/10/2016 11:00:00 AM,BCPEP,3388,6200
1/10/2016 5:00:00 PM,1/10/2016 12:00:00 PM,BCPEP,3377,6200
1/10/2016 6:00:00 PM,1/10/2016 1:00:00 PM,BCPEP,3052,6200
1/10/2016 7:00:00 PM,1/10/2016 2:00:00 PM,BCPEP,2826,6200
1/10/2016 8:00:00 PM,1/10/2016 3:00:00 PM,BCPEP,3101,6200
1/10/2016 9:00:00 PM,1/10/2016 4:00:00 PM,BCPEP,3212,6200
1/10/2016 10:00:00 PM,1/10/2016 5:00:00 PM,BCPEP,4315,6200
1/10/2016 11:00:00 PM,1/10/2016 6:00:00 PM,BCPEP,4094,6200
1/11/2016 12:00:00 AM,1/10/2016 7:00:00 PM,BCPEP,4240,6200
1/11/2016 1:00:00 AM,1/10/2016 8:00:00 PM,BCPEP,4235,6200
1/11/2016 2:00:00 AM,1/10/2016 9:00:00 PM,BCPEP,3775,6200
1/11/2016 3:00:00 AM,1/10/2016 10:00:00 PM,BCPEP,3513,6200
1/11/2016 4:00:00 AM,1/10/2016 11:00:00 PM,BCPEP,3087,6200
1/11/2016 5:00:00 AM,1/11/2016 12:00:00 AM,BCPEP,3367,6800
1/11/2016 6:00:00 AM,1/11/2016 1:00:00 AM,BCPEP,3420,6800
1/11/2016 7:00:00 AM,1/11/2016 2:00:00 AM,BCPEP,3372,6800
1/11/2016 8:00:00 AM,1/11/2016 3:00:00 AM,BCPEP,3433,6800
1/11/2016 9:00:00 AM,1/11/2016 4:00:00 AM,BCPEP,3767,6800
1/11/2016 10:00:00 AM,1/11/2016 5:00:00 AM,BCPEP,4415,6800
1/11/2016 11:00:00 AM,1/11/2016 6:00:00 AM,BCPEP,5510,6800
1/11/2016 12:00:00 PM,1/11/2016 7:00:00 AM,BCPEP,5256,6500
1/11/2016 1:00:00 PM,1/11/2016 8:00:00 AM,BCPEP,5233,6500
1/11/2016 2:00:00 PM,1/11/2016 9:00:00 AM,BCPEP,5279,6500
1/11/2016 3:00:00 PM,1/11/2016 10:00:00 AM,BCPEP,4917,6500
1/11/2016 4:00:00 PM,1/11/2016 11:00:00 AM,BCPEP,5155,6500
1/11/2016 5:00:00 PM,1/11/2016 12:00:00 PM,BCPEP,5309,6500
1/11/2016 6:00:00 PM,1/11/2016 1:00:00 PM,BCPEP,5240,6500
1/11/2016 7:00:00 PM,1/11/2016 2:00:00 PM,BCPEP,5193,6500
1/11/2016 8:00:00 PM,1/11/2016 3:00:00 PM,BCPEP,5437,6500
1/11/2016 9:00:00 PM,1/11/2016 4:00:00 PM,BCPEP,5570,6500
1/11/2016 10:00:00 PM,1/11/2016 5:00:00 PM,BCPEP,6413,6500
1/11/2016 11:00:00 PM,1/11/2016 6:00:00 PM,BCPEP,6391,6500
1/12/2016 12:00:00 AM,1/11/2016 7:00:00 PM,BCPEP,5914,6500
1/12/2016 1:00:00 AM,1/11/2016 8:00:00 PM,BCPEP,5720,6500
1/12/2016 2:00:00 AM,1/11/2016 9:00:00 PM,BCPEP,5224,6500
1/12/2016 3:00:00 AM,1/11/2016 10:00:00 PM,BCPEP,4788,6500
1/12/2016 4:00:00 AM,1/11/2016 11:00:00 PM,BCPEP,4693,6800
1/12/2016 5:00:00 AM,1/12/2016 12:00:00 AM,BCPEP,4265,6800
1/12/2016 6:00:00 AM,1/12/2016 1:00:00 AM,BCPEP,4307,6800
1/12/2016 7:00:00 AM,1/12/2016 2:00:00 AM,BCPEP,4240,6800
1/12/2016 8:00:00 AM,1/12/2016 3:00:00 AM,BCPEP,4299,6800
1/12/2016 9:00:00 AM,1/12/2016 4:00:00 AM,BCPEP,4213,6800
1/12/2016 10:00:00 AM,1/12/2016 5:00:00 AM,BCPEP,4945,6800
1/12/2016 11:00:00 AM,1/12/2016 6:00:00 AM,BCPEP,6042,6800
1/12/2016 12:00:00 PM,1/12/2016 7:00:00 AM,BCPEP,5743,6000
1/12/2016 1:00:00 PM,1/12/2016 8:00:00 AM,BCPEP,5480,6000
1/12/2016 2:00:00 PM,1/12/2016 9:00:00 AM,BCPEP,5366,6000
1/12/2016 3:00:00 PM,1/12/2016 10:00:00 AM,BCPEP,5326,6000
1/12/2016 4:00:00 PM,1/12/2016 11:00:00 AM,BCPEP,5292,6000
1/12/2016 5:00:00 PM,1/12/2016 12:00:00 PM,BCPEP,4962,6000
1/12/2016 6:00:00 PM,1/12/2016 1:00:00 PM,BCPEP,4913,6000
1/12/2016 7:00:00 PM,1/12/2016 2:00:00 PM,BCPEP,4816,6000
1/12/2016 8:00:00 PM,1/12/2016 3:00:00 PM,BCPEP,4899,6000
1/12/2016 9:00:00 PM,1/12/2016 4:00:00 PM,BCPEP,5165,6000
1/12/2016 10:00:00 PM,1/12/2016 5:00:00 PM,BCPEP,5628,6000
1/12/2016 11:00:00 PM,1/12/2016 6:00:00 PM,BCPEP,5842,6000
1/13/2016 12:00:00 AM,1/12/2016 7:00:00 PM,BCPEP,5876,6000
1/13/2016 1:00:00 AM,1/12/2016 8:00:00 PM,BCPEP,5755,6000
1/13/2016 2:00:00 AM,1/12/2016 9:00:00 PM,BCPEP,5237,6000
1/13/2016 3:00:00 AM,1/12/2016 10:00:00 PM,BCPEP,4654,6000
1/13/2016 4:00:00 AM,1/12/2016 11:00:00 PM,BCPEP,4371,6800
1/13/2016 5:00:00 AM,1/13/2016 12:00:00 AM,BCPEP,4135,5500
1/13/2016 6:00:00 AM,1/13/2016 1:00:00 AM,BCPEP,4086,5500
1/13/2016 7:00:00 AM,1/13/2016 2:00:00 AM,BCPEP,3990,5500
1/13/2016 8:00:00 AM,1/13/2016 3:00:00 AM,BCPEP,3987,5500
1/13/2016 9:00:00 AM,1/13/2016 4:00:00 AM,BCPEP,4151,5500
1/13/2016 10:00:00 AM,1/13/2016 5:00:00 AM,BCPEP,4590,5500
1/13/2016 11:00:00 AM,1/13/2016 6:00:00 AM,BCPEP,5042,5500
1/13/2016 12:00:00 PM,1/13/2016 7:00:00 AM,BCPEP,5022,6100
1/13/2016 1:00:00 PM,1/13/2016 8:00:00 AM,BCPEP,4830,6100
1/13/2016 2:00:00 PM,1/13/2016 9:00:00 AM,BCPEP,4584,6100
1/13/2016 3:00:00 PM,1/13/2016 10:00:00 AM,BCPEP,4461,6100
1/13/2016 4:00:00 PM,1/13/2016 11:00:00 AM,BCPEP,4979,6100
1/13/2016 5:00:00 PM,1/13/2016 12:00:00 PM,BCPEP,4851,6100
1/13/2016 6:00:00 PM,1/13/2016 1:00:00 PM,BCPEP,4904,6100
1/13/2016 7:00:00 PM,1/13/2016 2:00:00 PM,BCPEP,4975,6100
1/13/2016 8:00:00 PM,1/13/2016 3:00:00 PM,BCPEP,5006,6100
1/13/2016 9:00:00 PM,1/13/2016 4:00:00 PM,BCPEP,4693,6100
1/13/2016 10:00:00 PM,1/13/2016 5:00:00 PM,BCPEP,5626,6100
1/13/2016 11:00:00 PM,1/13/2016 6:00:00 PM,BCPEP,5505,6100
1/14/2016 12:00:00 AM,1/13/2016 7:00:00 PM,BCPEP,5363,6100
1/14/2016 1:00:00 AM,1/13/2016 8:00:00 PM,BCPEP,5526,6100
1/14/2016 2:00:00 AM,1/13/2016 9:00:00 PM,BCPEP,4867,6100
1/14/2016 3:00:00 AM,1/13/2016 10:00:00 PM,BCPEP,4409,6100
1/14/2016 4:00:00 AM,1/13/2016 11:00:00 PM,BCPEP,4216,5500
1/14/2016 5:00:00 AM,1/14/2016 12:00:00 AM,BCPEP,4169,5800
1/14/2016 6:00:00 AM,1/14/2016 1:00:00 AM,BCPEP,4090,5800
1/14/2016 7:00:00 AM,1/14/2016 2:00:00 AM,BCPEP,4062,5800
1/14/2016 8:00:00 AM,1/14/2016 3:00:00 AM,BCPEP,4136,5800
1/14/2016 9:00:00 AM,1/14/2016 4:00:00 AM,BCPEP,3985,5800
